KOD,NUTS0,NUTS1,NUTS2,NUTS3,NUTS4
CZ,Česká republika,,,,
CZ0,,Česká republika,,,
CZ01,,,Praha,,
CZ010,,,,Hl. m. Praha,
CZ0101,,,,,Praha 1
CZ0102,,,,,Praha 2
CZ0103,,,,,Praha 3
CZ0104,,,,,Praha 4
CZ0105,,,,,Praha 5
CZ0106,,,,,Praha 6
CZ0107,,,,,Praha 7
CZ0108,,,,,Praha 8
CZ0109,,,,,Praha 9
CZ010A,,,,,Praha 10
CZ010B,,,,,Praha 11
CZ010C,,,,,Praha 12
CZ010D,,,,,Praha 13
CZ010E,,,,,Praha 14
CZ010F,,,,,Praha 15
CZ02,,,Střední Čechy,,
CZ020,,,,Středočeský kraj,
CZ0201,,,,,Benešov
CZ0202,,,,,Beroun
CZ0203,,,,,Kladno
CZ0204,,,,,Kolín
CZ0205,,,,,Kutná Hora
CZ0206,,,,,Mělník
CZ0207,,,,,Mladá Boleslav
CZ0208,,,,,Nymburk
CZ0209,,,,,Praha-východ
CZ020A,,,,,Praha-západ
CZ020B,,,,,Příbram
CZ020C,,,,,Rakovník
CZ03,,,Jihozápad,,
CZ031,,,,Jihočeský kraj,
CZ0311,,,,,České Budějovice
CZ0312,,,,,Český Krumlov
CZ0313,,,,,Jindřichův Hradec
CZ0314,,,,,Písek
CZ0315,,,,,Prachatice
CZ0316,,,,,Strakonice
CZ0317,,,,,Tábor
CZ032,,,,Plzeňský kraj,
CZ0321,,,,,Domažlice
CZ0322,,,,,Klatovy
CZ0323,,,,,Plzeň-město
CZ0324,,,,,Plzeň-jih
CZ0325,,,,,Plzeň-sever
CZ0326,,,,,Rokycany
CZ0327,,,,,Tachov
CZ04,,,Severozápad,,
CZ041,,,,Karlovarský kraj,
CZ0411,,,,,Cheb
CZ0412,,,,,Karlovy Vary
CZ0413,,,,,Sokolov
CZ042,,,,Ústecký kraj ,
CZ0421,,,,,Děčín
CZ0422,,,,,Chomutov
CZ0423,,,,,Litoměřice
CZ0424,,,,,Louny
CZ0425,,,,,Most
CZ0426,,,,,Teplice
CZ0427,,,,,Ústí nad Labem
CZ05,,,Severovýchod,,
CZ051,,,,Liberecký kraj,
CZ0511,,,,,Česká Lípa
CZ0512,,,,,Jablonec nad Nisou
CZ0513,,,,,Liberec
CZ0514,,,,,Semily
CZ052,,,,Královéhradecký kraj,
CZ0521,,,,,Hradec Králové
CZ0522,,,,,Jičín
CZ0523,,,,,Náchod
CZ0524,,,,,Rychnov nad Kněžnou
CZ0525,,,,,Trutnov
CZ053,,,,Pardubický kraj,
CZ0531,,,,,Chrudim
CZ0532,,,,,Pardubice
CZ0533,,,,,Svitavy
CZ0534,,,,,Ústí nad Orlicí
CZ06,,,Jihovýchod,,
CZ061,,,,Vysočina,
CZ0611,,,,,Havlíčkův Brod
CZ0612,,,,,Jihlava
CZ0613,,,,,Pelhřimov
CZ0614,,,,,Třebíč
CZ0615,,,,,Žďár nad Sázavou
CZ062,,,,Jihomoravský kraj,
CZ0621,,,,,Blansko
CZ0622,,,,,Brno-město
CZ0623,,,,,Brno-venkov
CZ0624,,,,,Břeclav
CZ0625,,,,,Hodonín
CZ0626,,,,,Vyškov
CZ0627,,,,,Znojmo
CZ07,,,Střední Morava,,
CZ071,,,,Olomoucký kraj,
CZ0711,,,,,Jeseník
CZ0712,,,,,Olomouc
CZ0713,,,,,Prostějov
CZ0714,,,,,Přerov
CZ0715,,,,,Šumperk
CZ072,,,,Zlínský kraj,
CZ0721,,,,,Kroměříž
CZ0722,,,,,Uherské Hradiště
CZ0723,,,,,Vsetín
CZ0724,,,,,Zlín
CZ08,,,Moravskoslezsko,,
CZ080,,,,Moravskoslezský kraj,
CZ0801,,,,,Bruntál
CZ0802,,,,,Frýdek - Místek
CZ0803,,,,,Karviná
CZ0804,,,,,Nový Jičín
CZ0805,,,,,Opava
CZ0806,,,,,Ostrava - město
CZZ,,Extra-Regio ,,,
CZZZ,,,Extra-Regio,,
CZZZZ,,,,Extra-Regio,
CZZZZZ,,,,,Extra-Regio 
